InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Revenue
536426,77697.0,Product 77697,24.0,2011-08-02 19:16:00,35.79,15979.0,Norway,858.96
C536380,75869.0,Product 75869,37.0,2011-10-03 10:56:00,3.78,15995.0,Germany,139.86
536367,78452.0,Product 78452,73.0,2011-11-04 03:13:00,14.17,16790.0,France,1034.41
536451,76408.0,Product 76408,72.0,2011-04-23 14:25:00,26.02,15717.0,United Kingdom,1873.44
536442,77722.0,Product 77722,55.0,2011-02-15 12:26:00,27.83,17077.0,Germany,1530.65
536394,77884.0,Product 77884,69.0,2011-08-10 14:27:00,4.15,17371.0,United Kingdom,286.35
536437,83902.0,Product 83902,74.0,2011-08-15 00:37:00,30.34,17199.0,Australia,2245.16
536385,82990.0,Product 82990,8.0,2011-03-07 07:05:00,20.31,14537.0,France,162.48
536416,74077.0,Product 74077,1.0,2011-07-15 15:38:00,24.68,13791.0,United Kingdom,24.68
536413,84350.0,Product 84350,52.0,2011-01-02 13:33:00,29.23,13160.0,France,1519.96
536412,74789.0,Product 74789,52.0,2011-02-12 04:42:00,17.24,17163.0,Germany,896.4799999999999
536463,77181.0,Product 77181,73.0,2011-01-26 18:34:00,21.41,13366.0,Norway,1562.93
536384,75240.0,Product 75240,89.0,2011-02-03 21:30:00,14.34,14300.0,Norway,1276.26
536421,76904.0,Product 76904,87.0,2011-08-21 04:33:00,26.48,14933.0,Norway,2303.76
536458,74280.0,Product 74280,89.0,2011-08-01 08:27:00,25.34,14034.0,France,2255.26
536375,75210.0,Product 75210,72.0,2011-03-26 15:19:00,1.52,14582.0,Norway,109.44
536384,71061.0,Product 71061,70.0,2011-03-26 01:29:00,35.05,16463.0,Australia,2453.5
536368,81611.0,Product 81611,45.0,2011-09-30 02:39:00,24.29,14609.0,United Kingdom,1093.05
536377,71716.0,Product 71716,74.0,2011-08-03 21:53:00,3.92,16152.0,France,290.08
536416,82681.0,Product 82681,61.0,2011-04-11 15:03:00,16.37,14803.0,United Kingdom,998.57
536450,78286.0,Product 78286,61.0,2011-08-03 23:45:00,13.55,15253.0,Norway,826.5500000000001
C536395,77895.0,Product 77895,55.0,2011-10-21 08:50:00,40.64,17268.0,Norway,2235.2
,77143.0,Product 77143,89.0,2011-09-21 03:56:00,35.85,14869.0,United Kingdom,3190.65
536417,81475.0,Product 81475,65.0,2011-07-06 20:16:00,29.37,14490.0,Australia,1909.05
536373,74953.0,Product 74953,35.0,2011-05-01 07:50:00,6.99,15343.0,France,244.65
536370,80388.0,Product 80388,25.0,2011-03-30 00:27:00,16.52,13646.0,France,413.0
536394,83518.0,Product 83518,10.0,2011-09-16 08:29:00,23.47,16454.0,France,234.7
536428,76131.0,Product 76131,97.0,2011-02-14 04:49:00,38.54,14108.0,Australia,3738.38
536384,77481.0,Product 77481,,2011-06-01 08:14:00,28.93,13014.0,United Kingdom,
536460,83485.0,Product 83485,17.0,2011-03-27 00:19:00,41.12,13974.0,Norway,699.04
536381,73572.0,Product 73572,32.0,2011-01-03 10:51:00,38.05,17654.0,Norway,1217.6
536371,82903.0,Product 82903,58.0,2011-09-15 21:02:00,32.04,16856.0,United Kingdom,1858.32
536459,75831.0,Product 75831,89.0,2011-08-15 19:52:00,40.42,14218.0,Australia,3597.38
536391,73795.0,Product 73795,89.0,2011-11-08 06:08:00,23.9,14487.0,Germany,2127.1
536415,82215.0,Product 82215,9.0,2011-01-08 18:46:00,45.65,15752.0,Germany,410.85
536445,77231.0,Product 77231,60.0,2011-07-18 23:40:00,34.83,16971.0,France,2089.8
536450,78729.0,Product 78729,,2011-07-13 02:28:00,32.07,14320.0,Germany,
536411,82471.0,Product 82471,77.0,2011-08-15 23:14:00,48.8,14771.0,France,3757.6
536457,79574.0,Product 79574,94.0,2011-07-20 07:21:00,18.22,15498.0,Australia,1712.6799999999998
536420,71938.0,Product 71938,52.0,2011-07-09 16:47:00,45.3,16372.0,France,2355.6
536372,79439.0,Product 79439,26.0,2011-02-24 09:28:00,16.56,13696.0,United Kingdom,430.56
C536451,72875.0,Product 72875,56.0,2011-10-30 09:11:00,49.18,14100.0,Norway,2754.08
536377,79747.0,Product 79747,89.0,2011-04-19 05:13:00,21.46,13018.0,Germany,1909.94
536455,72221.0,Product 72221,73.0,2011-12-04 22:25:00,45.56,,France,3325.88
536437,73522.0,Product 73522,68.0,2011-11-16 13:10:00,31.92,13033.0,United Kingdom,2170.56
536386,81821.0,Product 81821,21.0,2011-08-11 06:43:00,10.47,15185.0,United Kingdom,219.87
536420,71182.0,Product 71182,26.0,2011-09-18 18:07:00,37.44,17858.0,United Kingdom,973.44
536424,80592.0,Product 80592,90.0,2011-09-21 17:25:00,8.32,17616.0,Germany,748.8000000000001
536444,82443.0,Product 82443,25.0,2011-03-08 19:55:00,39.65,17519.0,Australia,991.25
536415,76153.0,Product 76153,83.0,2011-10-27 16:10:00,9.44,14559.0,Australia,783.52
536444,72711.0,Product 72711,14.0,2011-10-13 10:10:00,-29.81,16833.0,Australia,-417.34
536374,76909.0,Product 76909,68.0,2011-11-09 17:43:00,47.41,17887.0,Australia,3223.88
536370,78687.0,Product 78687,52.0,2010-12-01 02:01:00,49.15,15337.0,,2555.8
536368,82447.0,Product 82447,76.0,2011-07-11 11:59:00,49.64,15009.0,United Kingdom,3772.64
536382,74613.0,Product 74613,99.0,2011-07-15 18:13:00,32.91,,Norway,3258.09
536448,82732.0,Product 82732,13.0,2011-01-19 07:33:00,19.46,16601.0,Germany,252.98
536399,75715.0,Product 75715,75.0,2011-09-13 12:49:00,34.7,17719.0,United Kingdom,2602.5
536458,71382.0,Product 71382,100.0,2011-08-25 12:25:00,22.57,13834.0,United Kingdom,2257.0
536423,76277.0,Product 76277,19.0,2011-02-05 23:45:00,8.42,13290.0,Australia,159.98
536369,76263.0,Product 76263,24.0,2011-04-08 12:46:00,16.99,17500.0,Norway,407.76
536394,73260.0,Product 73260,73.0,2011-01-08 15:09:00,25.0,14718.0,Norway,1825.0
C536453,79592.0,Product 79592,23.0,2011-04-24 19:02:00,46.01,13933.0,France,1058.23
536448,79825.0,Product 79825,49.0,2011-11-21 15:20:00,17.3,13238.0,France,847.7
536388,79010.0,Product 79010,22.0,2011-02-27 16:31:00,38.34,13785.0,Germany,843.48
536462,82210.0,Product 82210,86.0,2011-04-05 12:14:00,33.75,14756.0,Australia,2902.5
536370,,Product UnknownStockCode,67.0,2011-08-13 01:53:00,4.67,16823.0,France,312.89
536367,84523.0,Product 84523,46.0,2011-04-21 09:16:00,38.18,16790.0,Norway,1756.28
536454,82349.0,Product 82349,38.0,2011-06-07 15:32:00,3.23,14617.0,United Kingdom,122.74
,71357.0,Product 71357,1.0,2011-08-03 00:39:00,5.34,17089.0,France,5.34
536381,83227.0,Product 83227,59.0,2011-04-10 00:54:00,22.42,13854.0,France,1322.7800000000002
536426,80192.0,Product 80192,38.0,2011-09-01 06:24:00,15.44,17257.0,France,586.72
,81280.0,Product 81280,9.0,2011-02-17 08:37:00,43.36,13851.0,Norway,390.24
536424,71456.0,Product 71456,67.0,2011-08-27 05:54:00,18.17,15392.0,Germany,1217.39
536430,79418.0,Product 79418,47.0,2011-03-25 00:46:00,4.02,16953.0,Norway,188.94
536454,72438.0,Product 72438,81.0,2011-07-07 10:15:00,6.5,13144.0,Germany,526.5
536414,,Product UnknownStockCode,14.0,2011-10-13 04:07:00,34.46,13070.0,Norway,482.44
536464,71742.0,Product 71742,57.0,2011-04-21 02:30:00,31.77,17356.0,Australia,1810.89
536399,83636.0,Product 83636,46.0,2011-07-13 17:51:00,36.94,14839.0,Australia,1699.2399999999998
536379,71746.0,Product 71746,88.0,2011-07-24 07:38:00,33.24,17561.0,United Kingdom,2925.1200000000003
536412,79710.0,Product 79710,92.0,2011-03-04 17:25:00,16.32,16557.0,Australia,1501.44
536384,73901.0,Product 73901,12.0,2011-01-02 05:19:00,36.8,17463.0,United Kingdom,441.6
C536408,84436.0,Product 84436,21.0,2011-09-06 15:58:00,43.26,15855.0,Germany,908.46
536424,82727.0,Product 82727,58.0,2011-12-01 14:57:00,20.39,13462.0,United Kingdom,1182.62
536464,81774.0,Product 81774,50.0,2011-08-25 10:56:00,46.84,13385.0,Norway,2342.0
536451,78159.0,Product 78159,35.0,2011-05-11 13:02:00,10.94,16970.0,France,382.9
536434,84739.0,Product 84739,7.0,2011-10-28 00:34:00,4.01,17773.0,Norway,28.07
536431,79340.0,Product 79340,94.0,2011-03-11 11:32:00,28.0,14434.0,France,2632.0
536429,83210.0,Product 83210,4.0,2011-03-05 22:04:00,36.8,15574.0,France,147.2
536397,78755.0,Product 78755,18.0,2011-04-05 07:51:00,37.67,17213.0,Norway,678.0600000000001
536376,77640.0,Product 77640,87.0,2011-10-28 13:47:00,44.7,14358.0,Germany,3888.9
536401,83396.0,Product 83396,28.0,,29.73,15924.0,France,832.44
536375,80407.0,Product 80407,37.0,2011-03-23 08:35:00,16.25,13819.0,Germany,601.25
536463,80426.0,Product 80426,96.0,2011-02-11 17:19:00,27.64,13986.0,United Kingdom,2653.44
536387,74336.0,Product 74336,7.0,2011-04-10 19:56:00,12.57,14314.0,United Kingdom,87.99000000000001
536404,80013.0,Product 80013,75.0,2011-04-16 06:39:00,36.76,16891.0,Australia,2757.0
536401,71696.0,Product 71696,100.0,2011-06-16 23:49:00,28.45,14918.0,United Kingdom,2845.0
536372,83571.0,Product 83571,25.0,2011-08-18 16:35:00,39.55,13750.0,Norway,988.75
536416,81908.0,Product 81908,11.0,2011-11-02 00:07:00,25.17,16699.0,Australia,276.87
536380,71174.0,Product 71174,78.0,2011-11-26 09:05:00,20.16,15135.0,France,1572.48
536425,74723.0,Product 74723,77.0,2011-10-04 04:28:00,15.18,14998.0,United Kingdom,1168.86
536370,78450.0,Product 78450,58.0,2011-04-12 17:53:00,23.8,17660.0,Norway,1380.4
C536434,81059.0,Product 81059,29.0,2011-06-28 09:19:00,49.13,15193.0,Australia,1424.77
536450,78392.0,Product 78392,5.0,2011-08-27 01:13:00,33.81,16506.0,Norway,169.05
536428,74577.0,Product 74577,9.0,2011-10-05 03:06:00,7.63,14405.0,Norway,68.67
536369,73956.0,Product 73956,96.0,2010-07-12 02:44:00,29.3,13201.0,Germany,2812.8
536405,78798.0,Product 78798,28.0,2011-06-22 18:09:00,36.02,14594.0,Germany,1008.56
536413,80853.0,Product 80853,5.0,2011-03-25 07:21:00,27.98,16060.0,Norway,139.9
536413,81689.0,Product 81689,18.0,2011-01-08 19:52:00,27.49,15301.0,Norway,494.82
536446,84732.0,Product 84732,32.0,2011-07-16 08:24:00,13.33,13169.0,Australia,426.56
536411,80968.0,Product 80968,48.0,2011-11-06 10:39:00,44.59,13057.0,Germany,2140.32
536410,80036.0,Product 80036,9.0,2011-08-20 19:52:00,42.94,15631.0,France,386.46
536390,83703.0,Product 83703,92.0,2011-01-23 05:10:00,42.92,17997.0,Germany,3948.64
536365,78047.0,Product 78047,80.0,2011-04-28 01:07:00,8.85,15717.0,Australia,708.0
536416,75564.0,Product 75564,97.0,2011-01-18 04:11:00,40.48,17501.0,Australia,3926.56
536409,80498.0,Product 80498,1.0,2011-11-11 16:01:00,43.06,15939.0,Australia,43.06
536438,72795.0,Product 72795,48.0,2011-04-06 07:33:00,36.87,16113.0,Germany,1769.7599999999998
536442,77726.0,Product 77726,66.0,2011-01-16 07:16:00,38.74,14824.0,United Kingdom,2556.84
536402,78831.0,Product 78831,100.0,2011-08-31 05:02:00,35.22,14944.0,United Kingdom,3522.0
536428,73625.0,Product 73625,32.0,2011-01-12 09:01:00,9.58,13276.0,Germany,306.56
536372,75144.0,Product 75144,73.0,2010-12-25 15:25:00,38.87,13845.0,Utopia,2837.51
536456,77971.0,Product 77971,17.0,2011-01-24 07:00:00,23.22,13064.0,France,394.74
C536454,77141.0,Product 77141,1.0,2011-04-15 01:19:00,18.36,15303.0,United Kingdom,18.36
536458,82963.0,Product 82963,100.0,2011-02-23 07:17:00,42.03,13947.0,Germany,4203.0
536367,78094.0,Product 78094,92.0,2011-09-29 00:09:00,39.5,14636.0,Australia,3634.0
536444,71487.0,Product 71487,3.0,2011-09-19 05:35:00,48.27,14719.0,Norway,144.81
536463,80926.0,Product 80926,66.0,2011-03-11 21:09:00,25.7,16733.0,Australia,1696.2
536437,83804.0,Product 83804,97.0,2011-08-16 06:39:00,6.82,14153.0,Australia,661.5400000000001
536402,83509.0,Product 83509,66.0,2011-10-14 01:49:00,28.64,16997.0,Germany,1890.24
536367,77243.0,Product 77243,26.0,2011-11-13 11:40:00,32.54,13106.0,Germany,846.04
536443,81534.0,Product 81534,20.0,2010-12-02 07:08:00,28.45,16233.0,Norway,569.0
536439,78414.0,Product 78414,73.0,2011-04-13 22:46:00,,16737.0,Australia,
536370,,Product UnknownStockCode,47.0,2010-12-05 11:15:00,26.76,14659.0,Australia,1257.72
536450,77974.0,Product 77974,47.0,2011-07-14 07:54:00,27.49,17676.0,United Kingdom,1292.03
536382,76703.0,Product 76703,60.0,2011-07-14 10:18:00,8.76,17859.0,Germany,525.6
536395,84881.0,Product 84881,28.0,2010-12-30 07:16:00,44.13,16382.0,France,1235.64
536442,76540.0,Product 76540,,2011-03-02 00:20:00,32.68,14281.0,Utopia,
536399,82953.0,Product 82953,37.0,2011-03-25 03:31:00,14.83,16961.0,Australia,548.71
536439,73776.0,Product 73776,87.0,2011-05-19 10:07:00,41.93,16691.0,Germany,3647.91
536453,81154.0,Product 81154,14.0,2011-01-19 11:22:00,39.08,13823.0,Norway,547.12
536463,81467.0,Product 81467,14.0,2011-12-06 17:39:00,31.29,17742.0,Germany,438.06
536426,73471.0,Product 73471,43.0,2011-03-14 09:34:00,16.55,14143.0,United Kingdom,711.65
C536393,71121.0,Product 71121,45.0,2011-11-04 22:16:00,47.74,13615.0,Australia,2148.3
536395,79603.0,Product 79603,11.0,2011-05-25 10:32:00,2.12,17898.0,Australia,23.32
536429,,Product UnknownStockCode,67.0,2011-10-30 18:58:00,44.53,14511.0,Norway,2983.51
536450,81415.0,Product 81415,71.0,2011-10-30 17:44:00,45.08,15940.0,Germany,3200.68
536449,71714.0,Product 71714,47.0,2011-11-06 22:34:00,38.38,13130.0,Germany,1803.86
536367,81736.0,Product 81736,80.0,2011-08-07 00:00:00,12.14,15301.0,United Kingdom,971.2
536462,76469.0,Product 76469,53.0,2011-05-26 18:53:00,17.66,15923.0,Australia,935.98
536446,77795.0,Product 77795,60.0,2011-05-19 03:59:00,16.53,15827.0,France,991.8
536452,74420.0,Product 74420,41.0,2010-08-12 04:38:00,29.84,16243.0,Germany,1223.44
536420,71530.0,Product 71530,50.0,2011-10-09 15:32:00,2.17,13700.0,France,108.5
536392,83199.0,Product 83199,21.0,2011-03-02 02:35:00,35.16,15115.0,Norway,738.3599999999999
536459,80286.0,Product 80286,13.0,2011-11-12 04:35:00,12.39,16691.0,France,161.07
536379,74434.0,Product 74434,9.0,2011-02-06 23:10:00,43.52,15361.0,Germany,391.68
536392,,Product UnknownStockCode,43.0,2011-07-04 01:10:00,24.79,15122.0,Norway,1065.97
536433,79391.0,Product 79391,7.0,2011-09-25 22:51:00,24.53,15581.0,Germany,171.71
536465,76574.0,Product 76574,33.0,2011-01-13 04:28:00,43.78,17836.0,United Kingdom,1444.74
536419,71264.0,Product 71264,97.0,2011-08-26 23:30:00,27.03,17976.0,Australia,2621.9100000000003
536445,74234.0,Product 74234,62.0,2010-12-10 12:11:00,17.87,15862.0,Norway,1107.94
536375,76164.0,Product 76164,95.0,2011-12-01 21:51:00,33.2,13416.0,Norway,3154.0000000000005
536428,80574.0,Product 80574,72.0,2011-09-25 00:49:00,34.54,15271.0,Australia,2486.88
C536444,81536.0,Product 81536,79.0,2010-12-15 16:13:00,16.0,15896.0,Norway,1264.0
536415,76544.0,Product 76544,74.0,2011-06-10 12:20:00,2.4,15601.0,France,177.6
536373,72702.0,Product 72702,36.0,2011-10-15 05:54:00,48.17,13863.0,Germany,1734.12
536377,74821.0,Product 74821,74.0,2011-03-02 16:11:00,5.62,14229.0,Australia,415.88
536441,82868.0,Product 82868,42.0,2011-02-20 02:04:00,47.26,17362.0,Australia,1984.92
536390,78462.0,Product 78462,66.0,2011-05-17 20:41:00,6.21,16215.0,France,409.86
536367,81908.0,Product 81908,92.0,2011-10-18 23:27:00,23.34,14658.0,United Kingdom,2147.28
536442,83642.0,Product 83642,31.0,2011-07-28 18:39:00,6.2,14765.0,Australia,192.2
,75863.0,Product 75863,-43.0,2011-02-14 10:34:00,30.72,17449.0,United Kingdom,-1320.96
536410,77995.0,Product 77995,78.0,2011-07-01 04:52:00,28.11,14344.0,France,2192.58
536366,80048.0,Product 80048,89.0,2011-05-30 17:21:00,37.22,14210.0,United Kingdom,3312.58
536433,83351.0,Product 83351,96.0,2011-01-09 19:28:00,30.86,15214.0,,2962.56
536401,81248.0,Product 81248,20.0,2011-06-14 05:01:00,37.23,13606.0,Norway,744.5999999999999
536385,73609.0,Product 73609,,2011-01-27 21:42:00,49.01,14157.0,United Kingdom,
,77502.0,Product 77502,97.0,2011-02-22 06:31:00,36.4,14635.0,United Kingdom,3530.8
536386,71423.0,Product 71423,33.0,2011-02-03 01:46:00,29.54,15705.0,United Kingdom,974.82
536444,74515.0,Product 74515,65.0,2011-10-27 23:50:00,16.95,13401.0,Utopia,1101.75
536419,83988.0,Product 83988,52.0,2011-05-14 21:14:00,39.78,15042.0,France,2068.56
536446,77532.0,Product 77532,53.0,2011-11-14 05:05:00,32.4,13041.0,United Kingdom,1717.1999999999998
536390,72608.0,Product 72608,12.0,2011-07-13 07:17:00,46.7,14155.0,France,560.4000000000001
C536407,73941.0,Product 73941,61.0,2011-06-20 10:03:00,32.71,16766.0,Germany,1995.31
536432,84489.0,Product 84489,1.0,2011-02-07 19:02:00,44.11,14712.0,Norway,44.11
536396,78490.0,Product 78490,59.0,2011-04-18 06:19:00,5.67,14379.0,Norway,334.53
536442,80259.0,Product 80259,61.0,2011-08-16 16:35:00,43.7,13127.0,Germany,2665.7000000000003
536379,74776.0,Product 74776,6.0,2011-03-25 04:08:00,1.26,13559.0,Norway,7.56
536377,,Product UnknownStockCode,59.0,2011-04-16 23:17:00,15.98,17802.0,Germany,942.82
536414,71494.0,Product 71494,48.0,2011-12-01 05:42:00,25.99,15701.0,Utopia,1247.52
536381,83495.0,Product 83495,57.0,2011-04-19 15:38:00,44.28,16631.0,France,2523.96
536392,74879.0,Product 74879,99.0,2011-09-18 06:46:00,44.93,16337.0,France,4448.07
536440,82116.0,Product 82116,19.0,,49.07,13962.0,Australia,932.33
536368,84497.0,Product 84497,37.0,2011-06-30 22:18:00,34.99,17487.0,Australia,1294.63
536426,71689.0,Product 71689,15.0,2011-03-17 13:56:00,11.85,15226.0,Norway,177.75
536380,81019.0,Product 81019,72.0,2011-02-21 04:36:00,19.87,15042.0,France,1430.64
536412,78866.0,Product 78866,42.0,2011-04-14 14:25:00,43.38,13843.0,Germany,1821.96
536404,76907.0,Product 76907,49.0,,25.29,17550.0,France,1239.21
536461,73547.0,Product 73547,15.0,2011-05-10 14:11:00,25.78,16413.0,France,386.7000000000001
536390,83248.0,Product 83248,73.0,2010-12-19 19:13:00,36.0,15082.0,France,2628.0
536429,,Product UnknownStockCode,91.0,2011-11-15 19:20:00,18.58,15911.0,Australia,1690.7799999999995
536365,78628.0,Product 78628,45.0,2011-11-04 08:17:00,2.85,15110.0,Norway,128.25
536432,74388.0,Product 74388,94.0,2011-09-01 18:16:00,32.08,14227.0,United Kingdom,3015.52
C536439,75877.0,Product 75877,10.0,2011-09-13 04:08:00,34.85,17279.0,France,348.5
536393,84365.0,Product 84365,12.0,2011-09-12 14:59:00,9.08,14395.0,Australia,108.96
536403,84516.0,Product 84516,51.0,2011-08-05 02:58:00,47.99,15735.0,Australia,2447.49
536453,74422.0,Product 74422,48.0,2011-11-15 14:09:00,40.18,14698.0,Germany,1928.64
536452,84239.0,Product 84239,79.0,2011-08-19 21:30:00,1.89,17938.0,Germany,149.31
536440,79533.0,Product 79533,8.0,2011-08-03 11:41:00,,16899.0,United Kingdom,
536379,81906.0,Product 81906,46.0,2010-04-12 19:33:00,25.24,14350.0,Norway,1161.04
536456,79395.0,Product 79395,62.0,2011-09-22 12:42:00,27.3,14515.0,Germany,1692.6
536434,84120.0,Product 84120,3.0,2011-10-19 07:34:00,48.44,16645.0,Germany,145.32
536419,84201.0,Product 84201,87.0,2011-08-23 16:04:00,18.63,16115.0,United Kingdom,1620.81
536457,83106.0,Product 83106,12.0,2010-12-14 11:20:00,1.13,15911.0,France,13.56
536417,79403.0,Product 79403,1.0,2011-08-19 18:08:00,14.73,17564.0,Germany,14.73
536376,83051.0,Product 83051,74.0,2011-10-28 17:30:00,,17480.0,Germany,
536450,74663.0,Product 74663,35.0,2011-12-03 00:27:00,25.25,17358.0,Germany,883.75
536413,76640.0,Product 76640,46.0,2011-07-24 12:58:00,7.8,15942.0,Norway,358.8
536463,80893.0,Product 80893,88.0,2010-12-26 21:53:00,9.62,15078.0,Norway,846.56
536382,84985.0,Product 84985,48.0,2011-07-22 03:05:00,39.76,17196.0,United Kingdom,1908.48
536411,79520.0,Product 79520,60.0,2011-10-25 07:11:00,39.53,15075.0,France,2371.8
536393,78798.0,Product 78798,69.0,2011-08-15 23:12:00,31.12,15352.0,Norway,2147.28
536404,81799.0,Product 81799,23.0,2011-06-29 02:18:00,48.93,16620.0,Germany,1125.39
C536456,75905.0,Product 75905,13.0,2011-09-29 14:23:00,21.34,15510.0,France,277.42
536464,81903.0,Product 81903,54.0,2011-08-13 11:13:00,11.15,13090.0,Germany,602.1
536396,81904.0,Product 81904,34.0,2011-02-22 08:33:00,12.68,,United Kingdom,431.12
536414,78731.0,Product 78731,65.0,2011-04-28 02:37:00,25.32,13868.0,Norway,1645.8
536385,77899.0,Product 77899,30.0,2011-03-22 03:17:00,33.73,17746.0,United Kingdom,1011.9
536381,78444.0,Product 78444,3.0,2011-03-10 08:22:00,43.21,14791.0,Germany,129.63
536424,73684.0,Product 73684,3.0,2011-05-12 11:33:00,13.34,17416.0,Norway,40.02
536449,76727.0,Product 76727,84.0,2011-11-24 20:14:00,24.68,14530.0,Germany,2073.12
536451,73676.0,Product 73676,37.0,2011-03-11 22:24:00,35.66,15109.0,Australia,1319.4199999999998
536400,80649.0,Product 80649,32.0,2011-06-07 18:04:00,40.92,13211.0,France,1309.44
536448,81486.0,Product 81486,15.0,2011-11-19 17:18:00,40.22,16027.0,Australia,603.3
536464,84970.0,Product 84970,39.0,2011-05-11 08:47:00,25.27,14661.0,Australia,985.53
536373,81299.0,Product 81299,85.0,2011-09-13 04:04:00,,14578.0,United Kingdom,
536373,83867.0,Product 83867,72.0,2011-06-06 10:23:00,4.53,17542.0,Germany,326.16
536446,78917.0,Product 78917,-27.0,2011-05-04 06:20:00,11.25,17257.0,Norway,-303.75
536440,75150.0,Product 75150,40.0,2011-05-07 09:05:00,46.27,14592.0,Germany,1850.8
536449,83854.0,Product 83854,15.0,2011-12-05 04:00:00,46.5,17237.0,United Kingdom,697.5
536436,75490.0,Product 75490,58.0,2011-03-13 08:58:00,3.63,13372.0,United Kingdom,210.54
536368,73360.0,Product 73360,27.0,2011-01-23 08:57:00,8.57,16225.0,Australia,231.39
536423,80808.0,Product 80808,14.0,2011-06-18 23:51:00,21.78,13380.0,France,304.92
C536386,80782.0,Product 80782,97.0,2011-04-18 10:46:00,39.96,15091.0,United Kingdom,3876.12
536403,72143.0,Product 72143,70.0,2011-04-06 09:16:00,13.21,14360.0,Norway,924.7
536385,78381.0,Product 78381,77.0,2011-09-08 14:03:00,40.26,17009.0,France,3100.02
536425,81067.0,Product 81067,57.0,2010-09-12 07:32:00,26.72,17349.0,France,1523.04
536426,79199.0,Product 79199,49.0,2011-05-28 12:43:00,19.17,13571.0,Germany,939.33
